,id,Beds,Baths,Balconies, Covered Parking,Carpet Area,Developer,Project,Status,Facing,Lifts,Furnished Status,Car parking,Age of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Num of Amenities,Floor,Balcony,Super Built-up Area,Type of Ownership,Authority Approval,Bed,RERA ID,Bath,Floors allowed for construction
1713,4d423731363730343531,2,2,,,630,Retro Group,Retro Avenue,Immediately,,,Unfurnished,,10 to 15 years,"₹27,000",₹1.0 LacPay Zero Deposit,"903, Patidar Coop Hdg Soc, Plot no 56, Sector 2A, Kopar khairane, Navi Mumbai, Kopar Khairane, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Unfurnished,,,,,,,9,9 (Out of 14 Floors),1,,,,,,,
1714,4d423731363031333037,,,,,,Aurum Platz IT Pvt Ltd,Aurum Q Residences,Immediately,,,,,,"₹50,000","₹3,00,000Pay Zero Deposit","Ghansoli, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,,,,,,,,30,,,711sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹70/sqft,,,1,,,
1715,4d423633393832373835,2,2,,,600,Radhey Properties Builders,Radhey Residency 2,Immediately,East,,Unfurnished,,5 to 10 years,"₹10,000","₹60,000Pay Zero Deposit","RADHEY RESIDENCY 2 New Panvel Vichumbe Navi Mumbai., New Panvel, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",Dd vispute college.,Unfurnished,Vitrified,Main Road,,,,,22,,,,,Developer,,,,
1716,4d423538373135323739,,,,,,,A R Indraprastha,,East,,Semi-Furnished,1 Open,Less than 5 years,"₹9,500","₹57,000Pay Zero Deposit","Indraprastha Apartment Plot no.21 Sector 1 Karanjade Navi Mumba., Karanjade, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",Beside Tata Power coridor road,Semi-Furnished,Ceramic Tiles,Main Road,None of these,,,,0,8 (Out of 13 Floors),1,680sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,,,1,,1,
1717,4d423339313032393537,2,,,,620,,,Immediately,North - West,,Unfurnished,,Above 20 years,"₹17,000 | ₹1,000 Monthly Maintenance","₹1,02,000Pay Zero Deposit","D062 Ekta chs Nerul west sector18, Nerul, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",Near Vidya bhavan school sec18,Unfurnished,Vitrified,Main Road,,,,,0,Ground (Out of 4 Floors),,,,,,,1,
1718,4d423731353836333933,2,2,,,,Mayuresh,Belle Vista,Immediately,,,Furnished,,,"₹55,000","₹3,30,000Pay Zero Deposit","CBD Belapur, Navi Mumbai - Central Navi Mumbai, Maharashtra",,Furnished,,,,,,,0,4 (Out of 16 Floors),,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹61/sqft,,,,,,
1719,4d423230393332333837,3,3,,,,,,Immediately,North - East,,Semi-Furnished,1 Open,5 to 10 years,"₹55,000",₹3.3 LacPay Zero Deposit,"Seawoods, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Semi-Furnished,Marbonite,"Pool, Garden/Park",Servant Room,24 Hours Available,No/Rare Powercut,,0,11 (Out of 15 Floors),,1900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,,,,,,
1720,4d423335333234393735,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1721,4d423731353635323639,,,,,389,,,Immediately,North - East,,Unfurnished,,Less than 5 years,"₹8,000 | ₹1,000 Monthly Maintenance","₹25,000Pay Zero Deposit","Opp Jnpt Township Dronagiri Navi Mumbai, Dongri, Navi Mumbai - Central Navi Mumbai, Maharashtra",,Unfurnished,,"Garden/Park, Main Road","Puja Room, Study, Store",,,,0,7 (Out of 14 Floors),,,,,1,,1,
1722,4d423731353832373437,2,2,,,1050,NMS Enterprises,Moreshwar Heritage,Immediately,North - East,,Semi-Furnished,,5 to 10 years,"₹20,000","₹1,20,000Pay Zero Deposit","B302 Moreshwar heritage plot 70 sector 5 opposite bamandongri railway station ulwe babu mumbai, Ulwe, Navi Mumbai - Central Navi Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",,Semi-Furnished,Normal Tiles/Kotah Stone,Main Road,,,,,9,6 (Out of 7 Floors),1,,,,,,,
1723,4d423335353839383335,,2,,,640,,Airoli Shivlok,Immediately,,,Unfurnished,,Above 20 years,"₹22,000",₹1.5 LacPay Zero Deposit,"Sector 2, Airoli, Navi Mumbai - Central Navi Mumbai, Maharashtra",,Unfurnished,,,,,,,0,Ground (Out of 5 Floors),,,,,1,,,
1724,4d423731353630343433,2,2,,,,Lodha,Lodha Crown Taloja,Immediately,,,Semi-Furnished,,New Construction,"₹15,000","₹10,000Pay Zero Deposit","Taloja, Navi Mumbai - Central Navi Mumbai, Maharashtra",,Semi-Furnished,,,,,,,6,Upper Basement (Out of 12 Floors),,470sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,,,,,,
